Itemset,Support
"('Longitude 8',)",3069
"('Region Name SOUTHERN ALASKA',)",3160
"('Longitude 59',)",3178
"('Latitude 143',)",3198
"('Depth 59',)",3238
"('Latitude 171',)",3320
"('Longitude 49',)",3410
"('Longitude 49', 'Magnitude Type ML')",3252
"('Latitude 183',)",3416
"('Region Name NORTHERN CALIFORNIA',)",3421
"('Magnitude 106',)",3482
"('Magnitude 106', 'Magnitude Type mb')",3096
"('Latitude 147',)",3517
"('Longitude 30', 'Region Name VIRGIN ISLANDS REGION')",3529
"('Region Name CENTRAL CALIFORNIA',)",3679
"('Depth 45',)",3684
"('Magnitude 80',)",3865
"('Magnitude Type ML', 'Region Name TARAPACA, CHILE')",3596
"('Longitude 29', 'Magnitude Type ML', 'Region Name TARAPACA, CHILE')",3493
"('Longitude 29', 'Region Name TARAPACA, CHILE')",3786
"('Longitude 0',)",3902
"('Region Name AEGEAN SEA',)",3924
"('Magnitude Type ML', 'Region Name AEGEAN SEA')",3889
"('Magnitude 103',)",4086
"('Magnitude 103', 'Magnitude Type mb')",3623
"('Magnitude Type ML', 'Region Name SOUTHERN GREECE')",4079
"('Longitude 53', 'Magnitude Type ML', 'Region Name SOUTHERN GREECE')",4059
"('Longitude 53', 'Region Name SOUTHERN GREECE')",4130
"('Longitude 52', 'Region Name IONIAN SEA')",3962
"('Longitude 52', 'Magnitude Type ML', 'Region Name IONIAN SEA')",3843
"('Latitude 176', 'Longitude 52', 'Region Name IONIAN SEA')",3523
"('Latitude 176', 'Longitude 52', 'Magnitude Type ML', 'Region Name IONIAN SEA')",3417
"('Latitude 176', 'Magnitude Type ML', 'Region Name IONIAN SEA')",3838
"('Magnitude Type ML', 'Region Name IONIAN SEA')",4357
"('Depth 22',)",4577
"('Depth 22', 'Magnitude Type ML')",3438
"('Latitude 144', 'Region Name OAXACA, MEXICO')",3501
"('Latitude 144', 'Magnitude Type  M', 'Region Name OAXACA, MEXICO')",3376
"('Latitude 144', 'Magnitude Type  M')",4307
"('Depth 24',)",4643
"('Depth 24', 'Magnitude Type ML')",3497
"('Region Name PUERTO RICO REGION',)",4698
"('Magnitude Type Md', 'Region Name PUERTO RICO REGION')",3355
"('Magnitude 85',)",4750
"('Longitude 7',)",4764
"('Magnitude 77',)",4881
"('Magnitude 100',)",4890
"('Magnitude 100', 'Magnitude Type mb')",4317
"('Depth 26',)",4900
"('Depth 32',)",4930
"('Latitude 175', 'Longitude 54', 'Region Name DODECANESE IS.-TURKEY BORDER REG')",3138
"('Latitude 175', 'Longitude 54', 'Magnitude Type ML', 'Region Name DODECANESE IS.-TURKEY BORDER REG')",3117
"('Latitude 175', 'Magnitude Type ML', 'Region Name DODECANESE IS.-TURKEY BORDER REG')",3418
"('Longitude 54', 'Region Name DODECANESE IS.-TURKEY BORDER REG')",3991
"('Longitude 54', 'Magnitude Type ML', 'Region Name DODECANESE IS.-TURKEY BORDER REG')",3960
"('Magnitude Type ML', 'Region Name DODECANESE IS.-TURKEY BORDER REG')",4934
"('Magnitude 87',)",4975
"('Region Name OAXACA, MEXICO',)",4996
"('Magnitude Type  M', 'Region Name OAXACA, MEXICO')",4818
"('Magnitude 90',)",5049
"('Magnitude 90', 'Magnitude Type mb')",3543
"('Magnitude 82',)",5104
"('Longitude 56', 'Region Name CENTRAL TURKEY')",3704
"('Longitude 56', 'Magnitude Type ML', 'Region Name CENTRAL TURKEY')",3659
"('Longitude 56', 'Magnitude Type ML')",4915
"('Magnitude 93',)",5222
"('Magnitude 93', 'Magnitude Type mb')",4134
"('Magnitude 98',)",5409
"('Magnitude 98', 'Magnitude Type mb')",4642
"('Magnitude Type ML', 'Region Name ANTOFAGASTA, CHILE')",5025
"('Longitude 29', 'Magnitude Type ML', 'Region Name ANTOFAGASTA, CHILE')",4811
"('Longitude 29', 'Region Name ANTOFAGASTA, CHILE')",5204
"('Magnitude 75',)",5479
"('Day 66',)",5516
"('Day 66', 'Magnitude Type ML')",3521
"('Depth 25',)",5779
"('Depth 25', 'Magnitude Type ML')",3760
"('Magnitude 95',)",5784
"('Magnitude 95', 'Magnitude Type mb')",4782
"('Magnitude Type M ',)",5856
"('Longitude 57',)",5857
"('Longitude 57', 'Magnitude Type ML')",5668
"('Magnitude Type mb', 'Region Name OKLAHOMA')",3210
"('Longitude 21', 'Magnitude Type mb', 'Region Name OKLAHOMA')",3182
"('Longitude 21', 'Region Name OKLAHOMA')",5815
"('Latitude 181',)",6013
"('Latitude 181', 'Magnitude Type ML')",5100
"('Depth 9',)",6021
"('Depth 9', 'Magnitude Type ML')",4238
"('Latitude 172', 'Region Name CRETE, GREECE')",3782
"('Latitude 172', 'Magnitude Type ML', 'Region Name CRETE, GREECE')",3695
"('Latitude 172', 'Magnitude Type ML')",5482
"('Latitude 148', 'Longitude 30')",3397
"('Longitude 30', 'Magnitude Type Md')",4101
"('Magnitude 72',)",6296
"('Magnitude 72', 'Magnitude Type ML')",3491
"('Region Name CENTRAL TURKEY',)",6372
"('Magnitude Type ML', 'Region Name CENTRAL TURKEY')",6304
"('Longitude 54', 'Region Name CRETE, GREECE')",3625
"('Longitude 54', 'Magnitude Type ML', 'Region Name CRETE, GREECE')",3467
"('Magnitude Type ML', 'Region Name CRETE, GREECE')",6347
"('Latitude 173',)",6625
"('Latitude 173', 'Magnitude Type ML')",4979
"('Longitude 58', 'Region Name EASTERN TURKEY')",5716
"('Longitude 58', 'Magnitude Type ML', 'Region Name EASTERN TURKEY')",5648
"('Longitude 58', 'Magnitude Type ML')",6378
"('Depth 20',)",6698
"('Depth 20', 'Magnitude Type ML')",5478
"('Magnitude 67',)",6793
"('Magnitude 67', 'Magnitude Type ML')",4179
"('Latitude 179', 'Longitude 54', 'Region Name NEAR THE COAST OF WESTERN TURKEY')",3338
"('Latitude 179', 'Longitude 54', 'Magnitude Type ML', 'Region Name NEAR THE COAST OF WESTERN TURKEY')",3321
"('Longitude 54', 'Region Name NEAR THE COAST OF WESTERN TURKEY', 'Year 33')",4035
"('Longitude 54', 'Magnitude Type ML', 'Region Name NEAR THE COAST OF WESTERN TURKEY', 'Year 33')",4013
"('Longitude 54', 'Magnitude Type ML', 'Region Name NEAR THE COAST OF WESTERN TURKEY')",6796
"('Longitude 54', 'Region Name NEAR THE COAST OF WESTERN TURKEY')",6830
"('Latitude 184', 'Longitude 50', 'Region Name CENTRAL ITALY')",4414
"('Latitude 184', 'Longitude 50', 'Magnitude Type ML', 'Region Name CENTRAL ITALY')",4368
"('Latitude 184', 'Magnitude Type ML', 'Region Name CENTRAL ITALY')",5311
"('Longitude 50', 'Region Name CENTRAL ITALY')",5656
"('Longitude 50', 'Magnitude Type ML', 'Region Name CENTRAL ITALY')",5601
"('Magnitude Type ML', 'Region Name CENTRAL ITALY')",6854
"('Longitude 51',)",7016
"('Longitude 51', 'Magnitude Type ML')",6766
"('Longitude 16',)",7082
"('Longitude 16', 'Magnitude Type ML')",5132
"('Longitude 22', 'Year 41')",3146
"('Longitude 22', 'Magnitude Type  M', 'Year 41')",3031
"('Longitude 22', 'Magnitude Type  M')",6424
"('Magnitude 69',)",7364
"('Magnitude 69', 'Magnitude Type ML')",4467
"('Magnitude Type Mw',)",7410
"('Depth 10',)",7452
"('Depth 10', 'Magnitude Type ML')",5421
"('Magnitude 64',)",7463
"('Magnitude 64', 'Magnitude Type ML')",5041
"('Latitude 184', 'Longitude 50')",4415
"('Latitude 184', 'Longitude 50', 'Magnitude Type ML')",4368
"('Latitude 184', 'Magnitude Type ML')",6879
"('Depth 21',)",7627
"('Depth 21', 'Magnitude Type ML')",6157
"('Latitude 180',)",8274
"('Latitude 180', 'Magnitude Type ML')",6858
"('Longitude 50',)",8274
"('Longitude 50', 'Magnitude Type ML')",8107
"('Longitude 15',)",8350
"('Longitude 15', 'Magnitude Type MD')",4879
"('Magnitude Type Ml',)",8512
"('Magnitude Type Ml', 'Year 24')",4261
"('Magnitude 62',)",8590
"('Magnitude 62', 'Magnitude Type ML')",6251
"('Depth 17',)",8698
"('Depth 17', 'Magnitude Type ML')",7343
"('Latitude 178', 'Region Name EASTERN TURKEY')",3979
"('Latitude 178', 'Magnitude Type ML', 'Region Name EASTERN TURKEY')",3939
"('Magnitude Type ML', 'Region Name EASTERN TURKEY')",9088
"('Day 62',)",9285
"('Day 62', 'Magnitude Type ML')",6201
"('Day 64',)",9293
"('Day 64', 'Magnitude Type ML')",6141
"('Day 13',)",9309
"('Day 13', 'Magnitude Type ML')",5810
"('Day 46',)",9524
