Bins,Label
-8.25,Depth 0
-7.5,Depth 1
-6.75,Depth 2
-6.0,Depth 3
-5.25,Depth 4
-4.5,Depth 5
-3.75,Depth 6
-3.0,Depth 7
-2.25,Depth 8
-1.5,Depth 9
-0.75,Depth 10
0.0,Depth 11
0.75,Depth 12
1.5,Depth 13
2.25,Depth 14
3.0,Depth 15
3.75,Depth 16
4.5,Depth 17
5.25,Depth 18
6.0,Depth 19
6.75,Depth 20
7.5,Depth 21
8.25,Depth 22
9.0,Depth 23
9.75,Depth 24
10.5,Depth 25
11.25,Depth 26
12.0,Depth 27
12.75,Depth 28
13.5,Depth 29
14.25,Depth 30
15.0,Depth 31
15.75,Depth 32
16.5,Depth 33
17.25,Depth 34
18.0,Depth 35
18.75,Depth 36
19.5,Depth 37
20.25,Depth 38
21.0,Depth 39
21.75,Depth 40
22.5,Depth 41
23.25,Depth 42
24.0,Depth 43
24.75,Depth 44
25.5,Depth 45
26.25,Depth 46
27.0,Depth 47
27.75,Depth 48
28.5,Depth 49
29.25,Depth 50
30.0,Depth 51
30.75,Depth 52
31.5,Depth 53
32.25,Depth 54
33.0,Depth 55
33.75,Depth 56
34.5,Depth 57
35.25,Depth 58
36.0,Depth 59
36.75,Depth 60
37.5,Depth 61
38.25,Depth 62
39.0,Depth 63
39.75,Depth 64
40.5,Depth 65
41.25,Depth 66
42.0,Depth 67
42.75,Depth 68
43.5,Depth 69
44.25,Depth 70
45.0,Depth 71
45.75,Depth 72
46.5,Depth 73
47.25,Depth 74
48.0,Depth 75
48.75,Depth 76
49.5,Depth 77
50.25,Depth 78
51.0,Depth 79
51.75,Depth 80
52.5,Depth 81
53.25,Depth 82
54.0,Depth 83
54.75,Depth 84
55.5,Depth 85
56.25,Depth 86
57.0,Depth 87
57.75,Depth 88
58.5,Depth 89
59.25,Depth 90
60.0,Depth 91
60.75,Depth 92
61.5,Depth 93
62.25,Depth 94
63.0,Depth 95
63.75,Depth 96
64.5,Depth 97
65.25,Depth 98
66.0,Depth 99
66.75,Depth 100
67.5,Depth 101
68.25,Depth 102
69.0,Depth 103
69.75,Depth 104
70.5,Depth 105
71.25,Depth 106
72.0,Depth 107
72.75,Depth 108
73.5,Depth 109
74.25,Depth 110
75.0,Depth 111
75.75,Depth 112
76.5,Depth 113
77.25,Depth 114
78.0,Depth 115
78.75,Depth 116
79.5,Depth 117
80.25,Depth 118
81.0,Depth 119
81.75,Depth 120
82.5,Depth 121
83.25,Depth 122
84.0,Depth 123
